Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,DebtToIncomeRatio,LoanPurpose,SavingsAccountBalance,CheckingAccountBalance,MonthlyIncome,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,LoanApproved
43,78637,580,employed,high school,20,31708,60,single,0,other,205,0.301202933,education,2081,568,6553.083333,4,48514,2.46708,2.5352233699999998,937.2308962,0
27,39192,580,employed,associate,6,27868,36,divorced,3,rent,337,0.162057014,education,1567,259,3266.0,3,20643,2.22868,1.96171821,1030.246932,0
41,15000,533,employed,associate,20,26282,72,married,4,mortgage,1042,0.332023368,home,1144,2046,1250.0,4,298319,2.7478200000000004,3.297384,841.7307423,0
33,28175,499,employed,high school,10,25059,72,single,2,own,507,0.487455595,home,5990,594,2347.916667,5,3975,2.90559,3.1184776600000004,773.1219866,0
49,63456,605,employed,master,26,32296,12,married,3,mortgage,190,0.161318991,home,3194,688,5288.0,6,10865,1.94796,1.88238091,2973.573808,0
45,126823,460,employed,master,20,21640,60,married,3,rent,429,0.05095318,education,12681,2976,10568.58333,7,7906,2.9664,3.24803903,733.4517144,0
44,76916,612,self-employed,high school,22,17795,12,married,2,rent,241,0.242890504,education,3010,354,6409.666667,7,6022,1.7679500000000001,1.7351357200000002,1625.957231,0
49,82234,534,employed,bachelor,27,78855,48,divorced,1,rent,346,0.211573575,debt consolidation,1490,4037,6852.833333,5,31946,3.06855,2.9110015000000002,2798.581051,0
48,85081,573,employed,high school,25,36270,108,single,0,mortgage,295,0.073828291,debt consolidation,2320,2475,7090.083333,8,51032,2.9476999999999998,2.80706202,924.5329951,0
36,25753,526,employed,high school,18,24766,72,divorced,4,own,281,0.069508244,other,82187,595,2146.083333,2,124661,2.7676600000000002,2.4132735,654.0073076,0
55,43382,568,employed,bachelor,35,34007,60,married,2,mortgage,403,0.310722813,home,1187,2721,3615.166667,11,104824,2.55007,2.70864979,1040.17372,0
39,15699,540,employed,high school,17,18539,48,single,2,rent,152,0.127211898,other,3245,3507,1308.25,8,47209,2.43539,2.16776137,580.8512776,0
42,49046,482,employed,bachelor,19,58464,96,single,1,own,629,0.63794588,debt consolidation,1229,119,4087.166667,6,42660,3.5246399999999998,3.49736746,1819.306956,0
30,20736,624,employed,associate,12,14723,60,single,3,rent,176,0.140946791,debt consolidation,6822,913,1728.0,1,66872,2.07723,1.661784,362.8859261,0
37,101373,617,employed,bachelor,13,50458,48,divorced,0,mortgage,821,0.327424274,home,3980,419,8447.75,8,6153,2.36958,2.4360831,1655.104959,0
