Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,RiskScore,LoanApproved
43,78637,580,employed,high school,20,31708,60,single,0,other,205,0.116228384,2,1,0.301202933,0,education,0,30,14,2081,568,76447,27933,6553.083333,0.802990309,4,48514,0.246708,0.253522337,937.2308962,0.174304345,53.0,0
27,39192,580,employed,associate,6,27868,36,divorced,3,rent,337,0.077948204,1,0,0.162057014,0,education,0,27,29,1567,259,40091,19448,3266.0,0.787326474,3,20643,0.222868,0.196171821,1030.246932,0.418630414,50.0,0
41,15000,533,employed,associate,20,26282,72,married,4,mortgage,1042,0.165436011,1,0,0.332023368,0,home,0,25,18,1144,2046,337599,39280,1250.0,0.89054242,4,298319,0.274782,0.3297384,841.7307423,1.506984594,49.0,0
33,28175,499,employed,high school,10,25059,72,single,2,own,507,0.147772716,4,1,0.487455595,0,home,0,30,27,5990,594,43265,86218,2347.916667,0.796539731,5,3975,0.290559,0.311847766,773.1219866,0.545216108,57.0,0
49,63456,605,employed,master,26,32296,12,married,3,mortgage,190,0.388968245,6,0,0.161318991,0,home,0,24,14,3194,688,29860,30531,5288.0,0.669287739,6,10865,0.194796,0.188238091,2973.573808,0.598255259,47.0,0
45,126823,460,employed,master,20,21640,60,married,3,rent,429,0.164029056,1,0,0.05095318,1,education,1,18,4,12681,2976,15657,7751,10568.58333,0.834052717,7,7906,0.29664,0.324803903,733.4517144,0.109991252,68.0,0
44,76916,612,self-employed,high school,22,17795,12,married,2,rent,241,0.342307329,1,0,0.242890504,0,education,0,24,4,3010,354,61478,62430,6409.666667,0.760237165,7,6022,0.176795,0.173513572,1625.957231,0.291272125,55.0,0
49,82234,534,employed,bachelor,27,78855,48,divorced,1,rent,346,0.17363325,2,2,0.211573575,0,debt consolidation,0,26,12,1490,4037,42216,10270,6852.833333,0.851984589,5,31946,0.306855,0.29110015,2798.581051,0.458873126,50.0,0
48,85081,573,employed,high school,25,36270,108,single,0,mortgage,295,0.258420008,3,1,0.073828291,0,debt consolidation,0,26,16,2320,2475,61469,10437,7090.083333,0.787985949,8,51032,0.29477,0.280706202,924.5329951,0.172005453,47.0,0
36,25753,526,employed,high school,18,24766,72,divorced,4,own,281,0.416381816,1,1,0.069508244,1,other,0,18,21,82187,595,140746,16085,2146.083333,0.838790474,2,124661,0.276766,0.24132735,654.0073076,0.435680802,61.0,0
55,43382,568,employed,bachelor,35,34007,60,married,2,mortgage,403,0.289669796,7,0,0.310722813,0,home,0,24,17,1187,2721,134774,29950,3615.166667,0.851499326,11,104824,0.255007,0.270864979,1040.17372,0.399199775,51.0,0
39,15699,540,employed,high school,17,18539,48,single,2,rent,152,0.284402242,4,0,0.127211898,0,other,0,21,10,3245,3507,59028,11819,1308.25,0.682810752,8,47209,0.243539,0.216776137,580.8512776,0.560176784,52.0,0
42,49046,482,employed,bachelor,19,58464,96,single,1,own,629,0.075666039,8,0,0.63794588,0,debt consolidation,0,17,7,1229,119,53461,10801,4087.166667,0.961204035,6,42660,0.352464,0.349736746,1819.306956,0.599023029,59.0,0
